commit_hash,author,date,msg,file,file_path,lines_added,lines_deleted,complexity,nloc,is_bug_fix
507f54995a2fb330440cb4fc9d7c6335350bd6a2,Will McGugan,2020-04-12 15:33:12+01:00,fix row_style applying to header,CHANGELOG.md,CHANGELOG.md,6,0,,,1
507f54995a2fb330440cb4fc9d7c6335350bd6a2,Will McGugan,2020-04-12 15:33:12+01:00,fix row_style applying to header,pyproject.toml,pyproject.toml,1,1,,,1
507f54995a2fb330440cb4fc9d7c6335350bd6a2,Will McGugan,2020-04-12 15:33:12+01:00,fix row_style applying to header,table.py,rich/table.py,8,3,114.0,431.0,1
6b59f45c70f4abc29305cd5cb31b477d943c4899,Will McGugan,2020-04-13 12:24:13+01:00,lines and markup,CHANGELOG.md,CHANGELOG.md,10,0,,,0
6b59f45c70f4abc29305cd5cb31b477d943c4899,Will McGugan,2020-04-13 12:24:13+01:00,lines and markup,markup.rst,docs/source/markup.rst,9,1,,,0
6b59f45c70f4abc29305cd5cb31b477d943c4899,Will McGugan,2020-04-13 12:24:13+01:00,lines and markup,box.py,rich/box.py,1,1,17.0,285.0,0
6b59f45c70f4abc29305cd5cb31b477d943c4899,Will McGugan,2020-04-13 12:24:13+01:00,lines and markup,markup.py,rich/markup.py,3,5,18.0,64.0,0
6b59f45c70f4abc29305cd5cb31b477d943c4899,Will McGugan,2020-04-13 12:24:13+01:00,lines and markup,table.py,rich/table.py,60,22,123.0,461.0,0
6b59f45c70f4abc29305cd5cb31b477d943c4899,Will McGugan,2020-04-13 12:24:13+01:00,lines and markup,text.py,rich/text.py,5,0,124.0,439.0,0
7c8d43b16d6b47555caeb00234590bc8d335ed71,Will McGugan,2020-04-13 12:24:21+01:00,test markup,test_markup.py,tests/test_markup.py,35,0,3.0,28.0,0
764829df64e2ec5409cfd2349583ce359024a2e5,Will McGugan,2020-04-13 12:37:53+01:00,docs,markup.rst,docs/source/markup.rst,0,1,,,0
764829df64e2ec5409cfd2349583ce359024a2e5,Will McGugan,2020-04-13 12:37:53+01:00,docs,text.rst,docs/source/text.rst,4,1,,,0
764829df64e2ec5409cfd2349583ce359024a2e5,Will McGugan,2020-04-13 12:37:53+01:00,docs,pyproject.toml,pyproject.toml,1,1,,,0
764829df64e2ec5409cfd2349583ce359024a2e5,Will McGugan,2020-04-13 12:37:53+01:00,docs,text.py,rich/text.py,13,0,124.0,439.0,0
b4fa9346de54f7c05b96db2db9f9541f23c43018,Will McGugan,2020-04-14 15:38:10+01:00,readme,README.md,README.md,3,3,,,0
b4fa9346de54f7c05b96db2db9f9541f23c43018,Will McGugan,2020-04-14 15:38:10+01:00,readme,highlighter.py,rich/highlighter.py,2,0,10.0,72.0,0
2b22652f9ba885112919dcf88ba6fb4c1bb65d1d,Will McGugan,2020-04-14 15:38:39+01:00,version bump,CHANGELOG.md,CHANGELOG.md,1,1,,,0
e8d031a368b3b6ecbfa80b3051dcce09f6f6d752,Will McGugan,2020-04-14 16:23:38+01:00,filesize tests,filesize.py,rich/filesize.py,0,50,10.0,24.0,0
e8d031a368b3b6ecbfa80b3051dcce09f6f6d752,Will McGugan,2020-04-14 16:23:38+01:00,filesize tests,test_filesize.py,tests/test_filesize.py,17,0,2.0,13.0,0
cc49dac3e4db40a16d2d9b2af1f28a9653851500,Will McGugan,2020-04-14 16:40:42+01:00,progress tests,progress.py,rich/progress.py,1,1,88.0,397.0,0
cc49dac3e4db40a16d2d9b2af1f28a9653851500,Will McGugan,2020-04-14 16:40:42+01:00,progress tests,test_progress.py,tests/test_progress.py,27,0,2.0,20.0,0
b4e860b035ba73d890619320c23bb09f65df2787,Will McGugan,2020-04-18 16:26:17+01:00,extra typing,_log_render.py,rich/_log_render.py,1,1,14.0,59.0,0
b4e860b035ba73d890619320c23bb09f65df2787,Will McGugan,2020-04-18 16:26:17+01:00,extra typing,_lru_cache.py,rich/_lru_cache.py,2,2,5.0,18.0,0
b4e860b035ba73d890619320c23bb09f65df2787,Will McGugan,2020-04-18 16:26:17+01:00,extra typing,console.py,rich/console.py,2,2,142.0,681.0,0
b4e860b035ba73d890619320c23bb09f65df2787,Will McGugan,2020-04-18 16:26:17+01:00,extra typing,table.py,rich/table.py,1,1,123.0,461.0,0
b4e860b035ba73d890619320c23bb09f65df2787,Will McGugan,2020-04-18 16:26:17+01:00,extra typing,traceback.py,rich/traceback.py,1,1,31.0,246.0,0
958638c1809c35fa5f47d7ada61c533d69565e50,Will McGugan,2020-04-19 14:40:22+01:00,docs,introduction.rst,docs/source/introduction.rst,6,0,,,0
958638c1809c35fa5f47d7ada61c533d69565e50,Will McGugan,2020-04-19 14:40:22+01:00,docs,cells.py,rich/cells.py,2,2,24.0,79.0,0
8181845f4aa20749a4e60c04a4deaf69b52d5647,Will McGugan,2020-04-19 14:52:54+01:00,tests,.coveragerc,.coveragerc,2,2,,,0
8181845f4aa20749a4e60c04a4deaf69b52d5647,Will McGugan,2020-04-19 14:52:54+01:00,tests,cjk.py,,0,22,,,0
