repo,file_path,total_commits,commits_last_30d,commits_last_90d,days_since_last_change,unique_authors,top_owner_pct,avg_lines_added,avg_lines_deleted,max_lines_changed,bug_fix_count,bug_fix_rate,days_since_last_bugfix,file_age_days,avg_nloc,is_buggy
cli,httpie/cli/requestitems.py,22,1,1,1394,5,0.36363636363636365,15.045454545454545,4.590909090909091,162,6,0.2727272727272727,1675,1126,137.8181818181818,1
cli,httpie/cli/utils.py,2,1,1,1563,1,1.0,40.5,1.0,53,1,0.5,1563,133,54.5,1
cli,httpie/client.py,108,1,2,1085,13,0.7592592592592593,8.685185185185185,4.981481481481482,171,32,0.2962962962962963,1645,4005,156.4814814814815,1
cli,httpie/cliparse.py,22,15,21,5113,5,0.7272727272727273,28.454545454545453,9.590909090909092,165,7,0.3181818181818182,5113,92,194.4090909090909,1
cli,httpie/codec.py,1,1,1,1760,1,1.0,37.0,0.0,37,1,1.0,1760,0,13.0,1
cli,httpie/compat.py,20,1,1,631,4,0.75,16.6,10.95,141,4,0.2,631,4320,69.85,1
cli,httpie/config.py,37,1,1,1542,6,0.6486486486486487,9.91891891891892,5.27027027027027,76,15,0.40540540540540543,1753,3547,78.70270270270271,1
cli,httpie/constants.py,1,1,1,1815,1,1.0,2.0,0.0,2,1,1.0,1815,0,1.0,1
cli,httpie/context.py,31,1,1,1163,6,0.5161290322580645,10.903225806451612,3.903225806451613,68,13,0.41935483870967744,1163,3309,90.38709677419355,1
cli,httpie/cookies.py,1,1,1,1563,1,1.0,25.0,0.0,25,1,1.0,1563,0,11.0,1
cli,httpie/core.py,105,1,1,1394,8,0.780952380952381,14.142857142857142,11.314285714285715,310,39,0.37142857142857144,1542,3724,152.8190476190476,1
cli,httpie/downloads.py,66,1,1,1085,7,0.803030303030303,18.318181818181817,12.606060606060606,205,15,0.22727272727272727,1563,3812,265.72727272727275,1
cli,httpie/encoding.py,2,1,2,1675,2,0.5,26.5,1.5,50,1,0.5,1753,78,18.0,1
cli,httpie/httpie.png,4,4,4,5109,1,1.0,0.0,0.0,0,0,0.0,9999,0,,0
cli,httpie/httpie.py,24,24,24,5257,5,0.6666666666666666,13.791666666666666,4.75,157,11,0.4583333333333333,5259,7,148.0,1
cli,httpie/httpmessage.py,7,2,7,5125,4,0.42857142857142855,15.571428571428571,4.285714285714286,66,2,0.2857142857142857,5153,80,53.857142857142854,1
cli,httpie/humanize.py,3,3,3,4872,1,1.0,18.333333333333332,0.3333333333333333,53,1,0.3333333333333333,4892,26,18.333333333333332,1
cli,httpie/input.py,94,6,7,2521,13,0.851063829787234,9.308510638297872,5.531914893617022,256,22,0.23404255319148937,2523,2592,387.6595744680851,1
cli,httpie/internal/__build_channel__.py,1,1,1,1542,1,1.0,5.0,0.0,5,0,0.0,9999,0,1.0,0
cli,httpie/internal/__init__.py,1,1,1,1542,1,1.0,0.0,0.0,0,0,0.0,9999,0,,0
cli,httpie/internal/daemon_runner.py,2,2,2,1542,1,1.0,26.0,1.0,49,0,0.0,9999,0,30.5,0
cli,httpie/internal/daemons.py,3,3,3,1529,2,0.6666666666666666,41.333333333333336,1.0,121,1,0.3333333333333333,1529,13,72.0,1
cli,httpie/internal/update_warnings.py,1,1,1,1542,1,1.0,171.0,0.0,171,0,0.0,9999,0,110.0,0
cli,httpie/legacy/__init__.py,1,1,1,1605,1,1.0,0.0,0.0,0,0,0.0,9999,0,,0
cli,httpie/legacy/cookie_format.py,1,1,1,1605,1,1.0,103.0,0.0,103,0,0.0,9999,0,81.0,0
cli,httpie/legacy/v3_1_0_session_cookie_format.py,1,1,1,1575,1,1.0,3.0,6.0,9,1,1.0,1575,0,78.0,1
cli,httpie/legacy/v3_2_0_session_header_format.py,1,1,1,1575,1,1.0,73.0,0.0,73,1,1.0,1575,0,51.0,1
cli,httpie/manage.py,5,2,3,4952,1,1.0,27.0,5.2,83,1,0.2,4952,137,39.8,1
cli,httpie/manager/__init__.py,1,1,1,1699,1,1.0,0.0,0.0,0,0,0.0,9999,0,,0
cli,httpie/manager/__main__.py,3,1,1,1287,2,0.6666666666666666,21.0,0.6666666666666666,61,1,0.3333333333333333,1643,411,42.333333333333336,1
cli,httpie/manager/cli.py,10,3,6,1542,1,1.0,22.4,4.3,93,3,0.3,1542,156,131.5,1
cli,httpie/manager/compat.py,2,1,1,1287,2,0.5,34.5,0.5,69,0,0.0,9999,276,46.5,0
cli,httpie/manager/core.py,3,1,2,1575,1,1.0,15.0,1.0,33,0,0.0,9999,124,24.666666666666668,0
cli,httpie/manager/plugins.py,3,3,3,1682,1,1.0,87.33333333333333,4.0,188,2,0.6666666666666666,1682,16,159.33333333333334,1
cli,httpie/manager/tasks.py,4,3,4,1601,1,1.0,41.25,6.0,134,1,0.25,1601,34,93.5,1
cli,httpie/manager/tasks/__init__.py,2,1,2,1542,1,1.0,5.5,0.0,9,0,0.0,9999,32,9.0,0
cli,httpie/manager/tasks/check_updates.py,1,1,1,1542,1,1.0,10.0,0.0,10,0,0.0,9999,0,8.0,0
cli,httpie/manager/tasks/export_args.py,1,1,1,1575,1,1.0,27.0,0.0,27,0,0.0,9999,0,21.0,0
cli,httpie/manager/tasks/plugins.py,3,3,3,1562,2,0.6666666666666666,14.0,14.666666666666666,63,1,0.3333333333333333,1562,12,192.0,1
cli,httpie/manager/tasks/sessions.py,3,1,3,1542,1,1.0,3.6666666666666665,22.0,39,1,0.3333333333333333,1575,32,74.33333333333333,1
cli,httpie/models.py,65,1,1,1163,6,0.7846153846153846,10.861538461538462,7.276923076923077,126,23,0.35384615384615387,1287,3954,106.75384615384615,1
cli,httpie/output.py,43,1,1,4474,3,0.9302325581395349,17.930232558139537,8.209302325581396,303,7,0.16279069767441862,4888,644,227.37209302325581,1
cli,httpie/output/__init__.py,1,1,1,4473,1,1.0,0.0,0.0,0,0,0.0,9999,0,,0
cli,httpie/output/formatters/__init__.py,1,1,1,4471,1,1.0,0.0,0.0,0,0,0.0,9999,0,,0
cli,httpie/output/formatters/colors.py,36,2,2,1542,6,0.5555555555555556,16.805555555555557,11.916666666666666,153,15,0.4166666666666667,1542,2928,200.63888888888889,1
cli,httpie/output/formatters/headers.py,4,1,1,1908,2,0.75,2.25,1.25,6,0,0.0,9999,2563,7.5,0
cli,httpie/output/formatters/json.py,10,1,1,1769,2,0.7,3.7,2.6,15,3,0.3,1769,2702,24.3,1
cli,httpie/output/formatters/xml.py,6,1,3,1684,3,0.6666666666666666,15.833333333333334,2.1666666666666665,59,3,0.5,1753,2786,43.666666666666664,1
cli,httpie/output/lexers/__init__.py,1,1,1,1769,1,1.0,0.0,0.0,0,1,1.0,1769,0,,1
cli,httpie/output/lexers/common.py,1,1,1,1675,1,1.0,12.0,0.0,12,0,0.0,9999,0,5.0,0
cli,httpie/output/lexers/http.py,4,1,3,1605,2,0.75,29.5,5.25,72,2,0.5,1605,163,66.25,1
cli,httpie/output/lexers/json.py,2,2,2,1748,1,1.0,16.0,0.5,31,1,0.5,1769,20,18.0,1
cli,httpie/output/lexers/metadata.py,2,1,2,1645,2,0.5,30.0,0.5,57,1,0.5,1645,30,47.5,1
cli,httpie/output/models.py,1,1,1,1601,1,1.0,44.0,0.0,44,0,0.0,9999,0,31.0,0
cli,httpie/output/processing.py,9,1,3,1675,3,0.5555555555555556,7.777777777777778,1.3333333333333333,50,2,0.2222222222222222,1753,2795,32.666666666666664,1
cli,httpie/output/processors/__init__.py,1,1,1,4473,1,1.0,44.0,0.0,44,0,0.0,9999,0,31.0,0
cli,httpie/output/processors/base.py,1,1,1,4473,1,1.0,37.0,0.0,37,0,0.0,9999,0,11.0,0
cli,httpie/output/processors/colors.py,2,2,2,4472,1,1.0,149.0,43.0,194,1,0.5,4472,1,153.5,1
