commit_hash,author,committer,author_date,committer_date,msg,is_merge,parents_count,file,file_path,lines_added,lines_deleted,lines_changed,is_bug_fix,is_buggy
afb94d97dc498574b14f8cab555d230de91fe559,Will McGugan,Will McGugan,2020-05-21 16:15:08+00:00,2020-05-21T17:15:08+01:00,add attributes,False,1,test_color.py,tests/test_color.py,8,8,16,0,1
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,__main__.py,rich/__main__.py,4,2,6,0,1
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,align.py,rich/align.py,1,1,2,0,0
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,bar.py,rich/bar.py,4,2,6,0,0
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,console.py,rich/console.py,7,7,14,0,0
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,constrain.py,rich/constrain.py,3,1,4,0,1
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,padding.py,rich/padding.py,2,2,4,0,0
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,control.py,rich/control.py,1,1,2,0,0
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,emoji.py,rich/emoji.py,3,1,4,0,0
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,filesize.py,rich/filesize.py,2,6,8,0,0
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,live_render.py,rich/live_render.py,3,1,4,0,0
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,markdown.py,rich/markdown.py,25,9,34,0,0
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,measure.py,rich/measure.py,2,2,4,0,0
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,containers.py,rich/containers.py,3,3,6,0,1
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,panel.py,rich/panel.py,4,2,6,0,0
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,progress.py,rich/progress.py,29,17,46,0,1
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,test_text.py,tests/test_text.py,10,2,12,0,1
